,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
0,A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,48110000000.0,53.34,159.23,0.0068000000000000005,1731520.0
2,AAAU,Goldman Sachs Physical Gold ETF,Financial,Exchange Traded Fund,USA,,,17.69,0.013999999999999999,211930.0
3,AAC,Ares Acquisition Corporation,Financial,Shell Companies,USA,1210000000.0,59.21,9.71,0.0021,31452.0
5,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,,,69.0,-0.0001,2463.0
6,AAIC,Arlington Asset Investment Corp.,Real Estate,REIT - Mortgage,USA,126530000.0,,3.84,0.0026,176431.0
8,AAMC,Altisource Asset Management Corporation,Financial,Asset Management,USA,28120000.0,,14.27,0.0087,938.0
9,AAME,Atlantic American Corporation,Financial,Insurance - Life,USA,73610000.0,4.16,3.85,-0.0587,62285.0
11,AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,203600000.0,,7.04,0.005699999999999999,791430.0
14,AAPL,Apple Inc.,Technology,Consumer Electronics,USA,2480160000000.0,29.2,149.1,0.0014000000000000002,59128182.0
15,AAQC,Accelerate Acquisition Corp.,Financial,Shell Companies,USA,386000000.0,,9.65,0.0,393833.0
16,AAT,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,2290000000.0,126.62,38.24,-0.0008,124902.0
17,AATC,Autoscope Technologies Corporation,Technology,Scientific & Technical Instruments,USA,39140000.0,16.5,7.13,0.0819,195882.0
20,AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,,,87.56,-0.0042,373593.0
21,AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,5130000000.0,15.2,50.66,0.013000000000000001,241461.0
23,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,207050000000.0,31.35,116.48,0.0073,4405291.0
24,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,24820000000.0,,119.57,-0.0039000000000000003,854627.0
25,ABCB,Ameris Bancorp,Financial,Banks - Regional,USA,3450000000.0,8.29,50.43,-0.011000000000000001,220294.0
26,ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology,Canada,5050000000.0,22.85,17.89,0.1777,9967989.0
27,ABCM,Abcam plc,Healthcare,Biotechnology,United Kingdom,4660000000.0,,20.57,0.0069,19578.0
28,ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,123580000.0,,1.23,-0.016,401807.0
29,ABEQ,Absolute Core Strategy ETF,Financial,Exchange Traded Fund,USA,,,28.02,0.0017000000000000001,1482.0
32,ABGI,ABG Acquisition Corp. I,Financial,Shell Companies,USA,187110000.0,,9.69,-0.0031,2038.0
33,ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,41960000.0,,2.92,-0.023399999999999997,148250.0
35,ABMD,"Abiomed, Inc.",Healthcare,Medical Devices,USA,14710000000.0,95.33,321.65,-0.0016,88347.0
37,ABOS,"Acumen Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,586350000.0,,15.17,0.0181,87004.0
38,ABR,"Arbor Realty Trust, Inc.",Real Estate,REIT - Mortgage,USA,2620000000.0,8.01,18.43,-0.015,1100320.0
39,ABSI,Absci Corporation,Healthcare,Biotechnology,USA,2310000000.0,,25.01,0.048600000000000004,336368.0
40,ABST,Absolute Software Corporation,Technology,Software - Application,Canada,714440000.0,50.17,11.54,-0.027000000000000003,84170.0
41,ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,218730000000.0,34.44,123.06,0.002,3417049.0
42,ABTX,"Allegiance Bancshares, Inc.",Financial,Banks - Regional,USA,722240000.0,10.35,37.0,-0.0123,32686.0
43,ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,USA,298830000.0,,3.07,0.009899999999999999,811849.0
44,ABVC,"ABVC BioPharma, Inc.",Healthcare,Biotechnology,USA,61760000.0,,2.32,-0.1439,445684.0
45,AC,"Associated Capital Group, Inc.",Financial,Capital Markets,USA,824930000.0,7.36,36.55,-0.012199999999999999,10207.0
47,ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,2830000000.0,,17.58,-0.0255,752373.0
48,ACAHU,Atlantic Coastal Acquisition Corp.,Financial,Shell Companies,USA,,,9.92,0.0,28625.0
49,ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,1690000000.0,,6.78,-0.0397,5080446.0
50,ACBAU,Ace Global Business Acquisition Limited,Financial,Shell Companies,Hong Kong,,,10.48,0.0,0.0
51,ACBI,"Atlantic Capital Bancshares, Inc.",Financial,Banks - Regional,USA,492860000.0,11.97,25.21,0.0044,73582.0
52,ACC,"American Campus Communities, Inc.",Real Estate,REIT - Residential,USA,6730000000.0,749.85,48.74,-0.0039000000000000003,299913.0
53,ACCD,"Accolade, Inc.",Healthcare,Health Information Services,USA,2960000000.0,,45.05,-0.032799999999999996,287873.0
56,ACER,Acer Therapeutics Inc.,Healthcare,Biotechnology,USA,32610000.0,,2.45,-0.02,44355.0
57,ACES,ALPS Clean Energy ETF,Financial,Exchange Traded Fund,USA,,,69.85,-0.021400000000000002,38890.0
58,ACET,"Adicet Bio, Inc.",Healthcare,Biotechnology,USA,250450000.0,,7.73,0.0842,135677.0
59,ACEV,ACE Convergence Acquisition Corp.,Financial,Shell Companies,USA,282890000.0,,9.85,0.0,67507.0
60,ACEVU,ACE Convergence Acquisition Corp.,Financial,Shell Companies,USA,,,10.2,-0.0058,300.0
61,ACGL,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,16620000000.000002,8.39,41.78,0.0029,1198076.0
62,ACGLN,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,,5.26,26.14,0.0038,32992.0
64,ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Medical Care Facilities,USA,5540000000.0,33.97,61.9,-0.0206,472304.0
65,ACHL,Achilles Therapeutics plc,Healthcare,Biotechnology,United Kingdom,254900000.0,,6.45,0.009399999999999999,88285.0
66,ACHV,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology,Canada,66250000.0,,7.28,-0.0377,1386510.0
68,ACIC,Atlas Crest Investment Corp.,Financial,Shell Companies,USA,625070000.0,,9.99,0.002,449934.0
69,ACII,Atlas Crest Investment Corp. II,Financial,Shell Companies,USA,420410000.0,,9.7,-0.001,567.0
70,ACIO,Aptus Collared Income Opportunity ETF,Financial,Exchange Traded Fund,USA,,,30.89,0.0003,53522.0
71,ACIU,AC Immune SA,Healthcare,Biotechnology,Switzerland,475760000.0,,6.64,-0.0264,107591.0
72,ACIW,"ACI Worldwide, Inc.",Technology,Software - Infrastructure,USA,3770000000.0,43.72,31.96,-0.008100000000000001,492912.0
73,ACKIT,Ackrell SPAC Partners I Co.,Financial,Shell Companies,USA,,,9.97,0.0,0.0
74,ACKIU,Ackrell SPAC Partners I Co.,Financial,Shell Companies,USA,265410000.00000003,,10.22,0.0,0.0
75,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,1390000000.0,24.33,43.07,-0.014199999999999999,219573.0
77,ACMR,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,USA,1650000000.0,79.18,83.38,-0.0159,249197.0
78,ACN,Accenture plc,Technology,Information Technology Services,Ireland,214540000000.0,36.14,323.45,0.0053,968830.0
79,ACNB,ACNB Corporation,Financial,Banks - Regional,USA,246300000.0,8.4,28.74,0.0014000000000000002,7166.0
80,ACOR,"Acorda Therapeutics, Inc.",Healthcare,Biotechnology,USA,38160000.0,,3.58,0.0,142339.0
81,ACP,Aberdeen Income Credit Strategies Fund,Financial,Closed-End Fund - Debt,USA,201920000.0,,11.58,0.0087,225560.0
82,ACQR,Independence Holdings Corp.,Financial,Shell Companies,USA,599290000.0,,9.68,-0.0040999999999999995,1.0
83,ACQRU,Independence Holdings Corp.,Financial,Shell Companies,USA,,,9.97,0.003,968.0
84,ACR,ACRES Commercial Realty Corp.,Real Estate,REIT - Mortgage,USA,157250000.0,200.0,16.8,0.0012,10985.0
85,ACRE,Ares Commercial Real Estate Corporation,Real Estate,REIT - Mortgage,USA,692660000.0,8.44,14.81,0.0095,244831.0
86,ACRS,"Aclaris Therapeutics, Inc.",Healthcare,Biotechnology,USA,877610000.0,,14.72,-0.0258,248026.0
87,ACRX,"AcelRx Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,134830000.0,,1.17,-0.0168,736350.0
88,ACST,Acasti Pharma Inc.,Healthcare,Biotechnology,Canada,117370000.0,,0.45,-0.0004,5688870.0
89,ACTDU,ArcLight Clean Transition Corp. II,Financial,Shell Companies,USA,,,9.95,-0.0025,2361.0
92,ACV,AllianzGI Diversified Income & Convertible Fund,Financial,Asset Management,USA,361970000.0,,34.96,-0.0070999999999999995,17192.0
93,ACVA,ACV Auctions Inc.,Technology,Software - Application,USA,3410000000.0,,21.86,0.0005,771963.0
94,ACWF,iShares MSCI Global Multifactor ETF,Financial,Exchange Traded Fund,USA,,,38.78,0.002,1201.0
95,ACWI,iShares MSCI ACWI ETF,Financial,Exchange Traded Fund,USA,,,103.76,0.0025,1848453.0
96,ACWV,iShares MSCI Global Min Vol Factor ETF,Financial,Exchange Traded Fund,USA,,,106.16,0.005699999999999999,162511.0
97,ACWX,iShares MSCI ACWI ex U.S. ETF,Financial,Exchange Traded Fund,USA,,,57.51,0.0028000000000000004,987399.0
98,ACXP,"Acurx Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,46130000.0,,4.8,0.0,55852.0
100,ADAG,Adagene Inc.,Healthcare,Biotechnology,China,888370000.0,,18.5,0.0694,6452.0
101,ADAP,Adaptimmune Therapeutics plc,Healthcare,Biotechnology,United Kingdom,627430000.0,,3.99,0.0418,1020204.0
102,ADBE,Adobe Inc.,Technology,Software - Infrastructure,USA,303950000000.0,55.09,637.31,0.004699999999999999,926050.0
103,ADC,Agree Realty Corporation,Real Estate,REIT - Retail,USA,5190000000.0,45.72,74.39,0.005699999999999999,240456.0
104,ADCT,ADC Therapeutics SA,Healthcare,Biotechnology,Switzerland,1950000000.0,,26.78,0.0106,150997.0
105,ADER,26 Capital Acquisition Corp.,Financial,Shell Companies,USA,332080000.0,,9.66,-0.0063,63820.0
106,ADERU,26 Capital Acquisition Corp.,Financial,Shell Companies,USA,,,10.01,-0.009899999999999999,52600.0
108,ADEX,Adit EdTech Acquisition Corp.,Financial,Shell Companies,USA,334300000.0,,9.69,-0.0021,2204.0
109,ADGI,"Adagio Therapeutics, Inc. Common Stock",Healthcare,Biotechnology,USA,2880000000.0,,26.66,-0.0876,550698.0
110,ADI,"Analog Devices, Inc.",Technology,Semiconductors,USA,62290000000.0,40.59,170.08,0.0089,2038670.0
111,ADIL,"Adial Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,58550000.0,,3.28,0.0581,835205.0
113,ADMA,"ADMA Biologics, Inc.",Healthcare,Biotechnology,USA,189840000.0,,1.49,-0.0132,1111610.0
114,ADME,ETF Series Solutions - Aptus Drawdown Managed Equity ETF,Financial,Exchange Traded Fund,USA,,,40.71,0.0,38709.0
115,ADMP,Adamis Pharmaceuticals Corporation,Healthcare,Drug Manufacturers - Specialty & Generic,USA,147570000.0,,0.99,-0.0189,1747860.0
116,ADMS,"Adamas Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,207410000.0,,4.5,-0.0088,1122693.0
119,ADOC,Edoc Acquisition Corp.,Financial,Shell Companies,USA,118690000.0,,10.05,0.0,66.0
121,ADPT,Adaptive Biotechnologies Corporation,Healthcare,Biotechnology,USA,4760000000.0,,31.8,-0.0239,559501.0
122,ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,Financial,Exchange Traded Fund,USA,,,52.09,-0.0074,5429.0
123,ADS,Alliance Data Systems Corporation,Financial,Credit Services,USA,4480000000.0,5.78,92.04,-0.0123,304303.0
124,ADSK,"Autodesk, Inc.",Technology,Software - Application,USA,72350000000.0,56.97,332.78,0.0022,749151.0
126,ADTN,"ADTRAN, Inc.",Technology,Communication Equipment,USA,1040000000.0,65.39,23.41,-0.0013,221661.0
127,ADTX,"Aditxt, Inc.",Healthcare,Biotechnology,USA,28950000.0,,2.04,-0.0599,99672.0
128,ADUS,Addus HomeCare Corporation,Healthcare,Medical Care Facilities,USA,1400000000.0,37.97,90.19,-0.0116,51859.0
130,ADVM,"Adverum Biotechnologies, Inc.",Healthcare,Biotechnology,USA,222670000.0,,2.34,-0.0449,1354522.0
131,ADX,"Adams Diversified Equity Fund, Inc.",Financial,Closed-End Fund - Equity,USA,2280000000.0,3.15,20.53,0.0029,114717.0
132,ADXN,Addex Therapeutics Ltd,Healthcare,Biotechnology,Switzerland,72110000.0,,9.93,-0.006999999999999999,768.0
133,ADXS,"Advaxis, Inc.",Healthcare,Biotechnology,USA,61880000.0,,0.42,-0.0223,1647103.0
135,AEAC,Authentic Equity Acquisition Corp.,Financial,Shell Companies,USA,221950000.0,,9.65,-0.0040999999999999995,571.0
136,AEACU,Authentic Equity Acquisition Corp.,Financial,Shell Companies,USA,,,10.1,0.009000000000000001,181.0
138,AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",Financial,Asset Management,United Kingdom,448140000.0,8.61,8.83,0.0034000000000000002,22991.0
139,AEG,Aegon N.V.,Financial,Insurance - Diversified,Netherlands,10330000000.0,,4.95,0.016399999999999998,3083961.0
141,AEHR,Aehr Test Systems,Technology,Semiconductor Equipment & Materials,USA,129669999.99999999,,5.67,-0.0173,478919.0
142,AEI,Alset EHome International Inc.,Real Estate,Real Estate - Development,USA,64870000.00000001,,1.87,-0.0311,1279485.0
144,AEL,American Equity Investment Life Holding Company,Financial,Insurance - Life,USA,3040000000.0,4.63,33.19,-0.0036,150350.0
146,AEMD,"Aethlon Medical, Inc.",Healthcare,Medical Devices,USA,60060000.0,,3.84,0.0052,559797.0
151,AERI,"Aerie Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,679870000.0,,14.7,0.0055000000000000005,198488.0
155,AESR,Anfield U.S. Equity Sector Rotation ETF,Financial,Exchange Traded Fund,USA,,,14.12,0.0,52559.0
157,AEY,"ADDvantage Technologies Group, Inc.",Technology,Electronics & Computer Distribution,USA,34550000.0,,2.74,0.0703,192699.0
158,AEYE,"AudioEye, Inc.",Technology,Software - Application,USA,100130000.0,,9.5,-0.0084,241213.0
159,AEZS,Aeterna Zentaris Inc.,Healthcare,Biotechnology,USA,84280000.0,,0.69,-0.0203,473353.0
160,AFAQU,AF Acquisition Corp.,Financial,Shell Companies,USA,,,9.85,-0.001,653.0
161,AFB,AllianceBernstein National Municipal Income Fund,Financial,Closed-End Fund - Debt,USA,430890000.0,50.64,14.99,0.0013,31065.0
162,AFBI,"Affinity Bancshares, Inc.",Financial,Banks - Regional,USA,91210000.0,14.52,13.26,-0.0055000000000000005,3117.0
163,AFCG,"AFC Gamma, Inc.",Real Estate,REIT - Specialty,USA,278830000.0,,20.86,-0.0052,442099.0
164,AFG,"American Financial Group, Inc.",Financial,Insurance - Property & Casualty,USA,11430000000.0,8.57,134.39,-0.0075,162244.0
166,AFIB,"Acutus Medical, Inc.",Healthcare,Medical Devices,USA,389800000.0,,11.56,-0.13019999999999998,497638.0
167,AFIF,Anfield Universal Fixed Income ETF,Financial,Exchange Traded Fund,USA,,,9.69,0.0021,6337.0
168,AFIN,"American Finance Trust, Inc.",Real Estate,REIT - Diversified,USA,932760000.0,,8.57,0.0012,393284.0
169,AFINO,"American Finance Trust, Inc.",Real Estate,REIT - Diversified,USA,,,26.8,0.0037,2005.0
170,AFK,VanEck Vectors Africa Index ETF,Financial,Exchange Traded Fund,USA,,,21.82,0.0018,5404.0
171,AFL,Aflac Incorporated,Financial,Insurance - Life,USA,37950000000.0,6.91,57.26,-0.0017000000000000001,1676282.0
172,AFLG,First Trust Active Factor Large Cap ETF,Financial,Exchange Traded Fund,USA,,,26.44,-0.0006,1609.0
173,AFMD,Affimed N.V.,Healthcare,Biotechnology,Germany,748030000.0,,6.09,-0.0146,507506.0
174,AFRM,"Affirm Holdings, Inc.",Technology,Information Technology Services,USA,17480000000.0,,65.95,-0.0235,1665847.0
175,AFT,Apollo Senior Floating Rate Fund Inc.,Financial,Asset Management,USA,247150000.0,68.7,15.87,0.0019,60138.0
176,AFTY,Pacer CSOP FTSE China A50 ETF,Financial,Exchange Traded Fund,USA,,,20.98,0.0084,51.0
179,AGC,Altimeter Growth Corp.,Financial,Shell Companies,USA,648990000.0,,10.51,-0.001,178104.0
180,AGCB,Altimeter Growth Corp. 2,Financial,Shell Companies,USA,564860000.0,,9.87,-0.001,20220.0
182,AGCUU,Altimeter Growth Corp.,Financial,Shell Companies,USA,,,10.94,-0.0018,17699.0
183,AGD,Aberdeen Global Dynamic Dividend Fund,Financial,Closed-End Fund - Foreign,USA,155490000.0,,12.39,0.0040999999999999995,26174.0
184,AGE,"AgeX Therapeutics, Inc.",Healthcare,Biotechnology,USA,48420000.0,,1.22,-0.024,34045.0
185,AGEN,Agenus Inc.,Healthcare,Biotechnology,USA,1380000000.0,,6.15,0.0336,3823667.0
188,AGG,iShares Core U.S. Aggregate Bond ETF,Financial,Exchange Traded Fund,USA,,,115.97,0.0036,4599772.0
189,AGGR,Agile Growth Corp.,Financial,Shell Companies,USA,300700000.0,,9.7,-0.0072,1462.0
190,AGGRU,Agile Growth Corp.,Financial,Shell Companies,USA,,,9.92,-0.0005,2202.0
191,AGGY,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund,Financial,Exchange Traded Fund,USA,,,52.64,0.0042,77950.0
193,AGIO,"Agios Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,2610000000.0,,43.95,-0.0023,390180.0
194,AGL,"agilon health, inc.",Healthcare,Medical Care Facilities,USA,13970000000.0,,35.03,0.0023,292118.0
195,AGLE,"Aeglea BioTherapeutics, Inc.",Healthcare,Biotechnology,USA,306930000.0,,6.03,-0.0305,161370.0
196,AGM,Federal Agricultural Mortgage Corporation,Financial,Credit Services,USA,1050000000.0,9.99,99.7,-0.0031,28790.0
197,AGMH,AGM Group Holdings Inc.,Technology,Software - Application,Hong Kong,160650000.0,,7.41,-0.0795,148433.0
198,AGNC,AGNC Investment Corp.,Real Estate,REIT - Mortgage,USA,8510000000.0,4.71,16.34,-0.0006,3486578.0
199,AGO,Assured Guaranty Ltd.,Financial,Insurance - Specialty,Bermuda,3740000000.0,9.82,50.0,-0.003,213426.0
200,AGOX,Adaptive Growth Opportunities ETF,Financial,Exchange Traded Fund,USA,,,26.45,-0.0011,36641.0
201,AGQ,ProShares Ultra Silver,Financial,Exchange Traded Fund,USA,,,37.26,0.046,818797.0
205,AGRX,"Agile Therapeutics, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,94920000.0,,1.03,-0.0463,675852.0
207,AGT,iShares MSCI Argentina and Global Exposure ETF,Financial,Exchange Traded Fund,USA,,,29.0,0.0008,20.0
208,AGTC,Applied Genetic Technologies Corporation,Healthcare,Biotechnology,USA,151430000.0,,3.58,-0.037599999999999995,522768.0
209,AGTI,"Agiliti, Inc.",Healthcare,Health Information Services,USA,2400000000.0,,18.34,-0.0793,708168.0
211,AGYS,"Agilysys, Inc.",Technology,Software - Application,USA,1400000000.0,,56.86,-0.0181,47381.0
212,AGZ,iShares Agency Bond ETF,Financial,Exchange Traded Fund,USA,,,119.06,0.0023,41601.0
213,AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,Financial,Exchange Traded Fund,USA,,,46.82,-0.0021,18617.0
214,AHAC,Alpha Healthcare Acquisition Corp.,Financial,Shell Companies,USA,129630000.0,,10.08,0.01,360330.0
215,AHACU,Alpha Healthcare Acquisition Corp.,Financial,Shell Companies,USA,,,11.21,-0.0143,17081.0
216,AHCO,AdaptHealth Corp.,Healthcare,Medical Devices,USA,3230000000.0,,25.12,-0.0102,399360.0
217,AHH,"Armada Hoffler Properties, Inc.",Real Estate,REIT - Diversified,USA,1090000000.0,35.53,13.5,0.026600000000000002,200392.0
218,AHPI,"Allied Healthcare Products, Inc.",Healthcare,Medical Devices,USA,49450000.0,,12.3,-0.10220000000000001,3057341.0
219,AHT,"Ashford Hospitality Trust, Inc.",Real Estate,REIT - Hotel & Motel,USA,354540000.0,,14.03,-0.0161,1573456.0
220,AI,"C3.ai, Inc.",Technology,Information Technology Services,USA,5170000000.0,,49.38,-0.04,2232396.0
221,AIA,iShares Asia 50 ETF,Financial,Exchange Traded Fund,USA,,,83.07,-0.0078000000000000005,68275.0
222,AIEQ,AI Powered Equity ETF,Financial,Exchange Traded Fund,USA,,,41.69,-0.004,59327.0
223,AIF,Apollo Tactical Income Fund Inc.,Financial,Asset Management,USA,226940000.0,32.89,15.69,0.0006,59493.0
224,AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA,44760000000.0,,54.61,0.013500000000000002,4668370.0
225,AIH,Aesthetic Medical International Holdings Group Limited,Healthcare,Medical Care Facilities,China,103650000.0,,4.29,-0.0509,48600.0
226,AIHS,Senmiao Technology Limited,Financial,Credit Services,China,36560000.0,,0.7,0.0014000000000000002,192901.0
227,AIKI,AIkido Pharma Inc.,Healthcare,Biotechnology,USA,71430000.0,,0.81,-0.022400000000000003,554810.0
228,AIM,AIM ImmunoTech Inc.,Healthcare,Biotechnology,USA,98500000.0,,2.0,0.0,236695.0
231,AINC,Ashford Inc.,Financial,Asset Management,USA,50030000.0,,16.62,0.0042,4546.0
232,AINV,Apollo Investment Corporation,Financial,Asset Management,USA,904480000.0,8.07,13.83,0.0066,127513.0
233,AIO,Virtus AllianzGI Artificial Intelligence & Technology Opportunities Fund,Financial,Closed-End Fund - Equity,USA,940880000.0,,27.4,-0.0011,33573.0
234,AIQ,Global X Artificial Intelligence & Technology ETF,Financial,Exchange Traded Fund,USA,,,30.84,0.0013,14399.0
236,AIRC,Apartment Income REIT Corp.,Real Estate,REIT - Residential,USA,7980000000.0,,50.41,0.0092,219614.0
237,AIRG,"Airgain, Inc.",Technology,Communication Equipment,USA,154280000.0,,14.82,-0.020499999999999997,72953.0
239,AIRR,First Trust RBA American Industrial RenaissanceTM ETF,Financial,Exchange Traded Fund,USA,,,42.33,-0.0101,35021.0
242,AIV,Apartment Investment and Management Company,Real Estate,REIT - Residential,USA,1020000000.0,117.41,6.81,0.0179,989905.0
243,AIZ,"Assurant, Inc.",Financial,Insurance - Specialty,USA,9920000000.0,24.78,165.0,-0.005699999999999999,367910.0
244,AJAX,Ajax I,Financial,Shell Companies,USA,878400000.0,,9.82,-0.016,876190.0
245,AJG,Arthur J. Gallagher & Co.,Financial,Insurance Brokers,USA,28920000000.0,31.41,140.3,-0.0086,1627636.0
247,AJX,Great Ajax Corp.,Real Estate,REIT - Mortgage,USA,304530000.0,10.94,13.95,-0.0148,54450.0
248,AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,USA,18760000000.0,33.07,116.29,-0.0084,1000392.0
249,AKBA,"Akebia Therapeutics, Inc.",Healthcare,Biotechnology,USA,422600000.0,,2.52,-0.0418,1707708.0
250,AKIC,Sports Ventures Acquisition Corp.,Financial,Shell Companies,USA,229500000.0,,9.7,0.0,1710.0
251,AKICU,Sports Ventures Acquisition Corp.,Financial,Shell Companies,USA,,,9.92,0.001,570.0
254,AKR,Acadia Realty Trust,Real Estate,REIT - Retail,USA,1860000000.0,,21.42,-0.0005,286904.0
255,AKRO,"Akero Therapeutics, Inc.",Healthcare,Biotechnology,USA,665410000.0,,18.85,0.010700000000000001,293592.0
256,AKTS,"Akoustis Technologies, Inc.",Technology,Communication Equipment,USA,442660000.0,,8.75,-0.0342,306903.0
257,AKTX,"Akari Therapeutics, Plc",Healthcare,Biotechnology,United Kingdom,67000000.0,,1.67,-0.023399999999999997,42952.0
258,AKUS,"Akouos, Inc.",Healthcare,Biotechnology,USA,385560000.0,,11.3,-0.0088,63975.0
259,AKYA,"Akoya Biosciences, Inc.",Healthcare,Medical Instruments & Supplies,USA,576170000.0,,15.48,-0.0926,222799.0
261,ALAC,Alberton Acquisition Corporation,Financial,Shell Companies,Hong Kong,52250000.0,,11.31,0.0034999999999999996,37253.0
263,ALBO,"Albireo Pharma, Inc.",Healthcare,Biotechnology,USA,560930000.0,,29.2,-0.024700000000000003,137904.0
264,ALC,Alcon Inc.,Healthcare,Medical Instruments & Supplies,Switzerland,35030000000.0,,70.11,-0.0078000000000000005,1803478.0
266,ALDX,"Aldeyra Therapeutics, Inc.",Healthcare,Biotechnology,USA,521730000.0,,9.29,-0.0323,416801.0
268,ALEC,"Alector, Inc.",Healthcare,Biotechnology,USA,2370000000.0,,28.32,0.0147,507769.0
269,ALEX,"Alexander & Baldwin, Inc.",Real Estate,REIT - Diversified,USA,1480000000.0,55.66,20.54,0.0044,94284.0
270,ALF,"Alfi, Inc.",Technology,Software - Infrastructure,USA,84050000.0,,7.19,-0.065,745641.0
271,ALFA,AlphaClone Alternative Alpha ETF,Financial,Exchange Traded Fund,USA,,,86.26,-0.0008,67.0
273,ALGM,"Allegro MicroSystems, Inc.",Technology,Semiconductors,USA,5680000000.0,138.27,29.59,0.0147,263805.0
274,ALGN,"Align Technology, Inc.",Healthcare,Medical Devices,USA,55140000000.0,78.77,691.19,-0.018600000000000002,397526.0
275,ALGS,"Aligos Therapeutics, Inc.",Healthcare,Biotechnology,USA,685710000.0,,15.72,-0.0006,47248.0
277,ALHC,"Alignment Healthcare, Inc.",Healthcare,Healthcare Plans,USA,3740000000.0,,19.26,0.0706,200065.0
278,ALIM,"Alimera Sciences, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,53360000.0,,7.31,-0.14,96710.0
279,ALIT,Alight Inc.,Technology,Software - Application,USA,4770000000.0,,11.15,0.0127,2339768.0
282,ALKS,Alkermes plc,Healthcare,Biotechnology,Ireland,4540000000.0,,28.75,-0.0073,3911614.0
283,ALKT,"Alkami Technology, Inc.",Technology,Software - Application,USA,2700000000.0,,30.4,-0.0155,219683.0
284,ALL,The Allstate Corporation,Financial,Insurance - Property & Casualty,USA,39540000000.0,5.51,135.06,-0.0014000000000000002,846033.0
286,ALLK,Allakos Inc.,Healthcare,Biotechnology,USA,4640000000.0,,82.39,0.0173,198062.0
287,ALLO,"Allogene Therapeutics, Inc.",Healthcare,Biotechnology,USA,3080000000.0,,21.44,0.0128,499037.0
288,ALLT,Allot Ltd.,Technology,Communication Equipment,Israel,577100000.0,,16.27,-0.0127,80571.0
289,ALLY,Ally Financial Inc.,Financial,Credit Services,USA,19300000000.0,7.17,54.49,0.0037,2020085.0
290,ALNA,"Allena Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,70450000.0,,0.99,0.0101,1687789.0
291,ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,23200000000.0,,196.54,-0.0218,865810.0
292,ALOT,"AstroNova, Inc.",Technology,Computer Hardware,USA,116870000.0,78.73,15.67,-0.0178,1264.0
293,ALPN,"Alpine Immune Sciences, Inc.",Healthcare,Biotechnology,USA,212290000.0,,9.25,0.0,23048.0
294,ALRM,"Alarm.com Holdings, Inc.",Technology,Software - Application,USA,3950000000.0,51.17,83.86,-0.0216,124827.0
295,ALRN,"Aileron Therapeutics, Inc.",Healthcare,Biotechnology,USA,92940000.0,,1.07,-0.009300000000000001,1301842.0
296,ALRS,Alerus Financial Corporation,Financial,Banks - Regional,USA,498920000.0,9.55,29.4,-0.0121,4484.0
298,ALT,"Altimmune, Inc.",Healthcare,Biotechnology,USA,460130000.0,,12.02,0.0161,1196286.0
