,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
2686,FLAX,Franklin FTSE Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,,,27.46,-0.004,1598.0
2687,FLBR,Franklin FTSE Brazil ETF,Financial,Exchange Traded Fund,USA,,,22.95,0.0029,5232.0
2688,FLC,Flaherty & Crumrine Total Return Fund Inc.,Financial,Closed-End Fund - Debt,USA,243040000.0,13.94,24.2,0.005,19630.0
2689,FLCA,Franklin FTSE Canada ETF,Financial,Exchange Traded Fund,USA,,,33.54,-0.0004,1134.0
2690,FLCB,Franklin Liberty US Core Bond ETF,Financial,Exchange Traded Fund,USA,,,25.6,0.0031,22845.0
2691,FLCH,Franklin FTSE China ETF,Financial,Exchange Traded Fund,USA,,,28.19,-0.005600000000000001,312770.0
2692,FLCO,Franklin Liberty Investment Grade Corporate ETF,Financial,Exchange Traded Fund,USA,,,26.35,0.0051,3256.0
2693,FLDM,Fluidigm Corporation,Healthcare,Diagnostics & Research,USA,536870000.0,,6.7,-0.0304,535587.0
2694,FLDR,Fidelity Low Duration Bond Factor ETF,Financial,Exchange Traded Fund,USA,,,50.92,0.0007000000000000001,17852.0
2695,FLEE,Franklin FTSE Europe ETF,Financial,Exchange Traded Fund,USA,,,30.11,0.0089,7298.0
2696,FLEX,Flex Ltd.,Technology,Electronic Components,Singapore,8770000000.0,12.0,18.21,0.0060999999999999995,3330896.0
2697,FLGB,Franklin FTSE United Kingdom ETF,Financial,Exchange Traded Fund,USA,,,25.68,0.0039000000000000003,12902.0
2698,FLGC,Flora Growth Corp.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,659450000.0,,17.2,0.35969999999999996,14655617.0
2699,FLGE,Credit Suisse FI Large Cap Growth Enhanced ETN,Financial,Exchange Traded Fund,USA,,,746.88,0.0034000000000000002,269.0
2700,FLGR,Franklin FTSE Germany ETF,Financial,Exchange Traded Fund,USA,,,27.53,0.0058,807.0
2701,FLGT,"Fulgent Genetics, Inc.",Healthcare,Diagnostics & Research,USA,2860000000.0,6.34,94.21,-0.0493,503470.0
2702,FLHK,Franklin FTSE Hong Kong ETF,Financial,Exchange Traded Fund,USA,,,27.84,0.0092,1863.0
2703,FLHY,Franklin Liberty High Yield Corporate ETF,Financial,Exchange Traded Fund,USA,,,26.45,0.0015,13922.0
2704,FLIA,Franklin Liberty International Aggregate Bond ETF,Financial,Exchange Traded Fund,USA,,,25.34,0.0002,445.0
2705,FLIC,The First of Long Island Corporation,Financial,Banks - Regional,USA,504840000.0,11.92,21.94,-0.0113,33695.0
2706,FLIN,Franklin FTSE India ETF,Financial,Exchange Traded Fund,USA,,,30.94,0.0088,760.0
2707,FLIY,Franklin FTSE Italy ETF,Financial,Exchange Traded Fund,USA,,,28.66,0.0074,496.0
2708,FLJP,Franklin FTSE Japan ETF,Financial,Exchange Traded Fund,USA,,,30.18,0.0023,17612.0
2709,FLKR,Franklin FTSE South Korea ETF,Financial,Exchange Traded Fund,USA,,,30.79,-0.009899999999999999,18063.0
2711,FLLV,Franklin Liberty U.S. Low Volatility ETF,Financial,Exchange Traded Fund,USA,,,48.8,0.0017000000000000001,4176.0
2712,FLMB,Franklin Liberty Federal Tax-Free Bond ETF,Financial,Exchange Traded Fund,USA,,,27.41,0.0002,582.0
2713,FLME,Flame Acquisition Corp.,Financial,Shell Companies,USA,349240000.0,,9.72,-0.001,6523.0
